Título,Resumo,Ano,Link,Fonte,Categoria_Ancora,Ancoras_Mencionadas,Categoria_Tecnica,Termos_Tecnicos,Score_Elite
Demystifying ISO 20022: Evaluating the benefits and limitations of new messaging standards,"<jats:p xml:lang=""en"">Messaging standards are core to the payment system, enabling institutions across sectors to connect and transact efficiently and effectively. Recent payment infrastructure modernisation efforts have identified one such standard, ISO 20022, as particularly effective at enabling richer data collection, which in turn has the potential to increase payment system interoperability and efficiency. The adoption of a new messaging standard has broad implications for both domestic and cross-border payment systems, with applications not only for faster payment systems but for retail payments more broadly. However, while the benefits for financial services will be net positive, benefits will be limited for domains already using international standards (ie retail card payments). This paper explores the benefits and limitations of ISO 20022, examining recent private sector initiatives and their experiences with implementation.</jats:p>",0,https://doi.org/10.69554/aisv2899,Crossref,Liquidacao_Interbancaria,ISO 20022,Mensageria_Validacao_Ordenacao,ISO 20022,4.5
Illustrative Industry Architecture to Mitigate Potential Fragmentation across a Central Bank Digital Currency and Commercial Bank Money,"Central banks are actively exploring central bank digital currencies (CBDCs) by conducting research, proofs of concept and pilots. However, adoption of a CBDC can risk fragmenting both payments markets and retail deposits. In this paper, we aim to provide a mitigation to this fragmentation risk by presenting an illustrative industry architecture that places CBDCs and commercial bank money on a similar footing. We introduce the concept of ecosystems providing a common programmability layer that interfaces with the account systems at both commercial banks and the central bank. We focus on a potential UK CBDC, including industry ecosystems interfacing with commercial banks using Open Banking application programming interfaces.",2022,http://arxiv.org/abs/2203.17018v2,ArXiv,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,architecture,3.5
Query as Anchor: Scenario-Adaptive User Representation via Large Language Model,"Industrial-scale user representation learning requires balancing robust universality with acute task-sensitivity. However, existing paradigms primarily yield static, task-agnostic embeddings that struggle to reconcile the divergent requirements of downstream scenarios within unified vector spaces. Furthermore, heterogeneous multi-source data introduces inherent noise and modality conflicts, degrading representation. We propose Query-as-Anchor, a framework shifting user modeling from static encoding to dynamic, query-aware synthesis. To empower Large Language Models (LLMs) with deep user understanding, we first construct UserU, an industrial-scale pre-training dataset that aligns multi-modal behavioral sequences with user understanding semantics, and our Q-Anchor Embedding architecture integrates hierarchical coarse-to-fine encoders into dual-tower LLMs via joint contrastive-autoregressive optimization for query-aware user representation. To bridge the gap between general pre-training and specialized business logic, we further introduce Cluster-based Soft Prompt Tuning to enforce discriminative latent structures, effectively aligning model attention with scenario-specific modalities. For deployment, anchoring queries at sequence termini enables KV-cache-accelerated inference with negligible incremental latency. Evaluations on 10 Alipay industrial benchmarks show consistent SOTA performance, strong scalability, and efficient deployment. Large-scale online A/B testing in Alipay's production system across two real-world scenarios further validates its practical effectiveness. Our code is prepared for public release and will be available at: https://github.com/JhCircle/Q-Anchor.",2026,http://arxiv.org/abs/2602.14492v2,ArXiv,Carteiras_Digitais,Alipay,Coringa_Comparativo,"framework, architecture",3.0
A Feature Engineering Approach for Business Impact-Oriented Failure Detection in Distributed Instant Payment Systems,"Instant payment infrastructures have stringent performance requirements, processing millions of transactions daily with zero-downtime expectations. Traditional monitoring approaches fail to bridge the gap between technical infrastructure metrics and business process visibility. We introduce a novel feature engineering approach based on processing times computed between consecutive ISO 20022 message exchanges, creating a compact representation of system state. By applying anomaly detection to these features, we enable early failure detection and localization, allowing incident classification. Experimental evaluation on the TARGET Instant Payment Settlement (TIPS) system, using both real-world incidents and controlled simulations, demonstrates the approach's effectiveness in detecting diverse anomaly patterns and provides inherently interpretable explanations that enable operators to understand the business impact. By mapping features to distinct processing phases, the resulting framework differentiates between internal and external payment system issues, significantly reduces investigation time, and bridges observability gaps in distributed systems where transaction state is fragmented across multiple entities.",2025,http://arxiv.org/abs/2510.21710v1,ArXiv,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,framework,3.0
Fighting crime with Transformers: Empirical analysis of address parsing methods in payment data,"In the financial industry, identifying the location of parties involved in payments is a major challenge in the context of various regulatory requirements. For this purpose address parsing entails extracting fields such as street, postal code, or country from free text message attributes. While payment processing platforms are updating their standards with more structured formats such as SWIFT with ISO 20022, address parsing remains essential for a considerable volume of messages. With the emergence of Transformers and Generative Large Language Models (LLM), we explore the performance of state-of-the-art solutions given the constraint of processing a vast amount of daily data. This paper also aims to show the need for training robust models capable of dealing with real-world noisy transactional data. Our results suggest that a well fine-tuned Transformer model using early-stopping significantly outperforms other approaches. Nevertheless, generative LLMs demonstrate strong zero-shot performance and warrant further investigations.",2024,http://arxiv.org/abs/2404.05632v2,ArXiv,Liquidacao_Interbancaria,ISO 20022,Mensageria_Validacao_Ordenacao,ISO 20022,3.0
Maxwell: a hardware and software highly integrated compute-storage system,"The compute-storage framework is responsible for data storage and processing, and acts as the digital chassis of all upper-level businesses. The performance of the framework affects the business's processing throughput, latency, jitter, and etc., and also determines the theoretical performance upper bound that the business can achieve. In financial applications, the compute-storage framework must have high reliability and high throughput, but with low latency as well as low jitter characteristics. For some scenarios such as hot-spot account update, the performance of the compute-storage framework even surfaces to become a server performance bottleneck of the whole business system. In this paper, we study the hot-spot account issue faced by Alipay and present our exciting solution to this problem by developing a new compute-storage system, called Maxwell. Maxwell is a distributed compute-storage system with integrated hardware and software optimizations. Maxwell does not rely on any specific hardware (e.g. GPUs or FPGAs). Instead, it takes deep advantage of computer components' characteristics, such as disk, network, operating system and CPU, and aims to emit the ultimate performance of both hardware and software. In comparison with the existing hot-spot account updating solutions deployed online, Maxwell achieves three orders of magnitude performance improvement for end-to-end evaluation. Meanwhile, Maxwell also demonstrates remarkable performance gains in other related businesses of Ant Group.",2021,http://arxiv.org/abs/2112.11030v1,ArXiv,Carteiras_Digitais,Alipay,Coringa_Comparativo,framework,3.0
Enhancing Bitcoin Security and Performance with Strong Consistency via Collective Signing,"While showing great promise, Bitcoin requires users to wait tens of minutes for transactions to commit, and even then, offering only probabilistic guarantees. This paper introduces ByzCoin, a novel Byzantine consensus protocol that leverages scalable collective signing to commit Bitcoin transactions irreversibly within seconds. ByzCoin achieves Byzantine consensus while preserving Bitcoin's open membership by dynamically forming hash power-proportionate consensus groups that represent recently-successful block miners. ByzCoin employs communication trees to optimize transaction commitment and verification under normal operation while guaranteeing safety and liveness under Byzantine faults, up to a near-optimal tolerance of f faulty group members among 3f + 2 total. ByzCoin mitigates double spending and selfish mining attacks by producing collectively signed transaction blocks within one minute of transaction submission. Tree-structured communication further reduces this latency to less than 30 seconds. Due to these optimizations, ByzCoin achieves a throughput higher than PayPal currently handles, with a confirmation latency of 15-20 seconds.",2016,http://arxiv.org/abs/1602.06997v3,ArXiv,Carteiras_Digitais,Paypal,Mensageria_Validacao_Ordenacao,consensus protocol,3.0
Елементи фінансової інфраструктури ринків капіталу: роль стандарту ISO 20022,<jats:p>Елементи фінансової інфраструктури ринків капіталу: роль стандарту ISO 20022</jats:p>,2025,https://doi.org/10.53679/niss-confproceed.2025.61,Crossref,Liquidacao_Interbancaria,ISO 20022,Mensageria_Validacao_Ordenacao,ISO 20022,3.0
"Adopting ISO 20022: Opportunities, Challenges, and Success Factors for Corporations in Payment Processing","<jats:p>This research explores the adoption of ISO 20022, a standard that corporations can leverage to instruct payments to their partner financial institutions. Due to the complexity and case-specific variables involved, the adoption process may be complex and require significant effort from financial institutions and customers over an extended period. This research analyzes the opportunities and challenges for corporate users posed by ISO 20022 and identifies the success factors that must be considered during the adoption process. The research key findings indicate that an implementation approach incorporating flexibility, custom extensions, the use of a markup language for creating and managing messages, pilot testing, and user feedback can be an effective adoption model for ISO 20022. Design Science Research Methodology is employed in designing, building, and evaluating a solution proposal to develop a structured, customized, and flexible solution complying with the ever-changing requirements and landscape. This research contributes to the payment processing field by providing a comprehensive adoption model for ISO 20022 that considers critical factors and challenges. The proposed customized and flexible solution can assist corporations in successfully adopting ISO 20022 and contribute to creating a common language and model for payment data worldwide. The initiative's success depends on the effective adoption by all players, including corporations. Doi: 10.28991/ESJ-2024-08-04-010 Full Text: PDF</jats:p>",0,https://doi.org/10.28991/esj-2024-08-04-010,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,,3.0
SWIFT MX camt.053 in SEPA -A Detailed Analysis of its Broad Use,"<jats:p>This paper presents a detailed analysis of the ISO 20022 camt.053 Bank-to-Customer Statement, positioning it as a canonical, normalized reporting layer within the SEPA and broader payments ecosystem. Rather than treating camt.053 as a passive statement, the study demonstrates how it captures the authoritative impact of payment execution on customer accounts, incorporating balances, transactions, dates, and identifiers derived from upstream flows such as pacs.008. Through concrete examples and structured analysis, the paper shows that disciplined population of camt.053 enables accurate reconciliation, customer transparency, auditability, and long-term reuse of data. Persisted in a structured form, camt.053 becomes a reusable analytical asset, reducing the need for costly reconstruction from heterogeneous source systems and supporting both operational efficiency and strategic insight.</jats:p>",0,https://doi.org/10.2139/ssrn.6132206,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,,3.0
AI-DRIVEN VALIDATION FRAMEWORKS FOR SWIFT/ISO 20022 FINANCIAL MESSAGING SYSTEMS,,0,https://doi.org/10.34218/ijitmis_16_02_040,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,framework,3.0
ISO 20022 Migration at Scale: Architectural Patterns and Engineering Challenges in Modernizing Global Financial Messaging Infrastructure,"<jats:p>The global financial services industry is undergoing one of its most significant technical transformations with the migration from legacy MT (Message Type) formats to ISO 20022 XML-based messaging standards. This transition affects financial messaging networks processing $5-7 trillion in cross-border payments daily, encompassing over 11,000 financial institutions across 200+ countries. A critical challenge in this migration is that not all institutions can simultaneously upgrade their systems to send ISO 20022 (MX) messages, creating a need for transparent MT-to-MX conversion capabilities. This paper presents the design, implementation, and operational experience of a production-grade MT-MX conversion system that enables seamless migration while maintaining continuous infrastructure operation. The author's direct involvement in developing the conversion engine, managing production rollout, debugging complex translation scenarios, and providing technical support for 11,000+ institutions provides unique insights into large-scale financial infrastructure transformation. This work demonstrates how intelligent format conversion serves as the foundational enabler for zero-downtime migration of critical payment systems</jats:p>",0,https://doi.org/10.15680/ijctece.2025.0806020,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,,3.0
ISO 20022 Rich-Data Credit Passport for Thin-File SMEs,,0,https://doi.org/10.2139/ssrn.5933273,Crossref,Liquidacao_Interbancaria,ISO 20022,Mensageria_Validacao_Ordenacao,ISO 20022,3.0
Utility Optimized Anti Money Laundering Detection Using ISO 20022 Trade Graphs Conformal Graph Neural Networks and SHAP,"<title>Abstract</title>
                <p>Digital finance is accelerating the volume, velocity, and complexity of global money movement through ISO 20022 migration, instant cross-border payments, and the digitization of trade documentation such as electronic invoices and bills of lading. Yet most anti–money laundering (AML) systems continue to rely on fixed thresholds that generate excessive false positives and impose high operational costs, with downstream consequences for financial inclusion and cross-border corridor access. We introduce a regulatory-utility framework that formulates AML triage as an economic optimization problem, maximizing expected suspicious-activity-report (SAR) yield under review-capacity and cost constraints. The system fuses ISO 20022 payment messages, Know-Your-Customer (KYC) attributes, and documentary-trade records into a single heterogeneous graph processed by a message-aware graph neural network (GNN), and applies calibrated probabilities with conformal prediction for auditable uncertainty control. SHAP-based subgraph rationales provide transparent, investigator-ready explanations. Experiments on privacy-preserving synthetic datasets reflecting cross-border payments and trade-based money-laundering typologies show that utility-optimized triage improves Utility@K by 18–35% and SAR@K by 12–22%, while reducing false positives per 1,000 investigations by 23–41 compared with rules-based or tabular baselines at equal workload. Linking payments to trade documents substantially increases TBML-ring discovery and maintains stable conformal coverage under distribution drift. A corridor-level welfare simulation shows that the framework also lowers compliance cost per benign digital transaction and reduces de-risking pressure, enabling broader participation in high-risk payment corridors. We release deployment artifacts, including model cards, threshold-governance frontiers, and challenger logs, to support transparent, reproducible, and digitally native AML across financial institutions and supervisory agencies.</p>",0,https://doi.org/10.21203/rs.3.rs-8187402/v1,Crossref,Liquidacao_Interbancaria,ISO 20022,Mensageria_Validacao_Ordenacao,"cross-border payments, ISO 20022",3.0
ISO 20022 : A migration strategy in securities markets for corporate events and triparty collateral management,"<jats:p xml:lang=""en"">Anyone involved in processing corporate events and triparty collateral management needs automation and efficiency. A general transition to ISO 20022, the latest messaging standard available, will support further automation across Europe. Its rigorous structure and richer content — compared with the legacy standard ISO 15022 — enables efficient use of collateral across European financial markets and a harmonised process for asset servicing. The Eurosystem and the financial community have developed a Single Collateral Management Rulebook for Europe (SCoRE) setting out how to use ISO 20022. The adoption of this rulebook starts in November 2024 and use of the ISO 20022 format will then become increasingly common. The main issue is how long the legacy standard and local formats should run alongside ISO 20022. Market actors have not yet agreed on how long the transition should last because of a collective coordination problem. The result is a situation where everyone is worse off. To overcome this, a market-wide migration strategy is needed based on cooperation and incentives to define the point from which only ISO 20022 will be used. The Eurosystem is acting as catalyst for a common migration strategy to ISO 20022 because of the benefits it will bring to society.</jats:p>",0,https://doi.org/10.69554/hcgy2089,Crossref,Liquidacao_Interbancaria,ISO 20022,Mensageria_Validacao_Ordenacao,ISO 20022,3.0
To Vote Before Decide: A Logless One-Phase Commit Protocol for Highly-Available Datastores,"Highly-available datastores are widely deployed for online applications. However, many online applications are not contented with the simple data access interface currently provided by highly-available datastores. Distributed transaction support is demanded by applications such as large-scale online payment used by Alipay or Paypal. Current solutions to distributed transaction can spend more than half of the whole transaction processing time in distributed commit. An efficient atomic commit protocol is highly desirable. This paper presents the HACommit protocol, a logless one-phase commit protocol for highly-available systems. HACommit has transaction participants vote for a commit before the client decides to commit or abort the transaction; in comparison, the state-of-the-art practice for distributed commit is to have the client decide before participants vote. The change enables the removal of both the participant logging and the coordinator logging steps in the distributed commit process; it also makes possible that, after the client initiates the transaction commit, the transaction data is visible to other transactions within one communication roundtrip time (i.e., one phase). In the evaluation with extensive experiments, HACommit outperforms recent atomic commit solutions for highly-available datastores under different workloads. In the best case, HACommit can commit in one fifth of the time 2PC does.",2017,http://arxiv.org/abs/1701.02408v2,ArXiv,Carteiras_Digitais,"Alipay, Paypal",Desempenho_Operacional,processing time,2.5
New Sustainable Fintech Business Models Created by Open API Technology: A Case Study of Korea’s Open Banking API Platform,"<jats:p>Fintech facilitates financial inclusion by introducing new sustainable and accessible business models in developing countries. Open banking API technology is used by various fintech businesses in both developing and developed countries, with varying effects on financial markets. It changes the financial market distribution structure by separating financial product manufacturing and distribution and intensifying competition between traditional financial institutions and fintech companies. Fintech companies innovate by using this tool to create new business models. In December 2019, Korea established a standardized &amp;quot;open banking API platform,&amp;quot; sharing an interbank payment network with fintech companies. It has since shown explosive growth, surpassing the trading volume of the UK, the country that introduced open banking APIs for the first time. This study analyzes new business models fintech companies created using this API technology. Based on existing literature, statistics from the platform operator (the Korea Financial Telecommunications and Clearings Institute), and investigations of 30 Korean fintech mobile applications, this study analyzes new fintech business models that provide financial services using this platform. These companies create sustainable business models by combining multiple APIs. Four representative business models (simple funds transfer, simple payment, cross-border remittance, and asset management) are analyzed to reveal how fintech companies create business models with open APIs.</jats:p>",0,https://doi.org/10.20944/preprints202405.0416.v1,Crossref,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,,2.5
Meta-Learning for Cold-Start Personalization in Prompt-Tuned LLMs,"Generative, explainable, and flexible recommender systems, derived using Large Language Models (LLM) are promising and poorly adapted to the cold-start user situation, where there is little to no history of interaction. The current solutions i.e. supervised fine-tuning and collaborative filtering are dense-user-item focused and would be expensive to maintain and update. This paper introduces a meta-learning framework, that can be used to perform parameter-efficient prompt-tuning, to effectively personalize LLM-based recommender systems quickly at cold-start. The model learns soft prompt embeddings with first-order (Reptile) and second-order (MAML) optimization by treating each of the users as the tasks. As augmentations to the input tokens, these learnable vectors are the differentiable control variables that represent user behavioral priors. The prompts are meta-optimized through episodic sampling, inner-loop adaptation, and outer-loop generalization. On MovieLens-1M, Amazon Reviews, and Recbole, we can see that our adaptive model outperforms strong baselines in NDCG@10, HR@10, and MRR, and it runs in real-time (i.e., below 300 ms) on consumer GPUs. Zero-history personalization is also supported by this scalable solution, and its 275 ms rate of adaptation allows successful real-time risk profiling of financial systems by shortening detection latency and improving payment network stability. Crucially, the 275 ms adaptation capability can enable real-time risk profiling for financial institutions, reducing systemic vulnerability detection latency significantly versus traditional compliance checks. By preventing contagion in payment networks (e.g., Fedwire), the framework strengthens national financial infrastructure resilience.",2025,http://arxiv.org/abs/2507.16672v1,ArXiv,Liquidacao_Interbancaria,Fedwire,Coringa_Comparativo,framework,1.5
