Título,Resumo,Ano,Autores,Link,PDF,Cat_Ancora,Cat_Tecnica
Emergency Financing Tokens,"We propose a novel payment mechanism for use by victims of large-scale conflict or natural disasters to conduct critical economic transactions and rebuild damaged infrastructure in the absence of both cash and traditional electronic payment mechanisms linked to bank accounts, such as debit cards or wire transfers. Claimants shall receive electronic tokens that can be used to pay registered businesses, such as purveyors of food and other basic goods, providers of essential services, and contractors to carry out construction tasks. The system shall be based upon the scalable architecture for retail payments described in our earlier work, which provides both strong privacy for consumers and strong compliance enforcement for recipients of funds. The system shall be designed to achieve three main objectives. First, tokens issued to claimants would be held directly by the claimants themselves, not via intermediaries, to avoid the risk of failure or subversion of asset custodians. Second, transactions shall not be traceable to the identity of the claimants, thus mitigating the risk that claimants can be pressured by service providers or other parties to reveal information that can be used to exploit them. Third, businesses and service providers that receive tokens shall be subject to rigorous compliance procedures upon redemption for cash or bank deposits, thus ensuring that only legitimate businesses or service providers can receive value from tokens, that token transfers will embed the identities of any recipients beyond the initial claimant, and that tax obligations shall be met at the time of redemption.",2023,Geoffrey Goodell,http://arxiv.org/abs/2310.05432v1,https://arxiv.org/pdf/2310.05432v1,Instant_Payments,Performance
Towards an Economic Analysis of Routing in Payment Channel Networks,"Payment channel networks are supposed to overcome technical scalability limitations of blockchain infrastructure by employing a special overlay network with fast payment confirmation and only sporadic settlement of netted transactions on the blockchain. However, they introduce economic routing constraints that limit decentralized scalability and are currently not well understood. In this paper, we model the economic incentives for participants in payment channel networks. We provide the first formal model of payment channel economics and analyze how the cheapest path can be found. Additionally, our simulation assesses the long-term evolution of a payment channel network. We find that even for small routing fees, sometimes it is cheaper to settle the transaction directly on the blockchain.",2017,"Felix Engelmann, Florian Glaser, Henning Kopp, Frank Kargl, Christof Weinhardt",http://arxiv.org/abs/1711.02597v1,https://arxiv.org/pdf/1711.02597v1,Instant_Payments,Performance
SecurePay: Enabling Secure and Fast Payment Processing for Platform Economy,"Recent years have witnessed a rapid development of platform economy, as it effectively addresses the trust dilemma between untrusted online buyers and merchants. However, malicious platforms can misuse users' funds and information, causing severe security concerns. Previous research efforts aimed at enhancing security in platform payment systems often sacrificed processing performance, while those focusing on processing efficiency struggled to completely prevent fund and information misuse. In this paper, we introduce SecurePay, a secure, yet performant payment processing system for platform economy. SecurePay is the first payment system that combines permissioned blockchain with central bank digital currency (CBDC) to ensure fund security, information security, and resistance to collusion by intermediaries; it also facilitates counter-party auditing, closed-loop regulation, and enhances operational efficiency for transaction settlement. We develop a full implementation of the proposed SecurePay system, and our experiments conducted on personal devices demonstrate a throughput of 256.4 transactions per second and an average latency of 4.29 seconds, demonstrating a comparable processing efficiency with a centralized system, with a significantly improved security level.",2025,"Junru Lin, Mingzhe Liu, Songze Li, Xuechao Wang",http://arxiv.org/abs/2505.17466v1,https://arxiv.org/pdf/2505.17466v1,Instant_Payments,Performance
Cryptocurrency Solutions to Enable Micro-payments in Consumer IoT,"The successful amalgamation of cryptocurrency and consumer Internet of Things (IoT) devices can pave the way for novel applications in machine-to-machine economy. However, the lack of scalability and heavy resource requirements of initial blockchain designs hinders the integration as they prioritized decentralization and security. Numerous solutions have been proposed since the emergence of Bitcoin to achieve this goal. However, none of them seem to dominate and thus it is unclear how consumer devices will be adopting these approaches. Therefore, in this paper, we critically review the existing integration approaches and cryptocurrency designs that strive to enable micro-payments among consumer devices. We identify and discuss solutions under three main categories; direct integration, payment channel network and new cryptocurrency design. The first approach utilizes a full node to interact with the payment system. Offline channel payment is suggested as a second layer solution to solve the scalability issue and enable instant payment with low fee. New designs converge to semi-centralized scheme and focuson lightweight consensus protocol that does not require highcomputation power which might mean loosening the initial designchoices in favor of scalability. We evaluate the pros and cons ofeach of these approaches and then point out future researchchallenges. Our goal is to help researchers and practitioners tobetter focus their efforts to facilitate micro-payment adoptions.",2021,"Suat Mercan, Ahmet Kurt, Enes Erdin, Kemal Akkaya",http://arxiv.org/abs/2102.02623v1,https://arxiv.org/pdf/2102.02623v1,Instant_Payments,Performance
A Digital Currency Architecture for Privacy and Owner-Custodianship,"In recent years, electronic retail payment mechanisms, especially e-commerce and card payments at the point of sale, have increasingly replaced cash in many developed countries. As a result, societies are losing a critical public retail payment option, and retail consumers are losing important rights associated with using cash. To address this concern, we propose an approach to digital currency that would allow people without banking relationships to transact electronically and privately, including both internet purchases and point-of-sale purchases that are required to be cashless. Our proposal introduces a government-backed, privately-operated digital currency infrastructure to ensure that every transaction is registered by a bank or money services business, and it relies upon non-custodial wallets backed by privacy-enhancing technology such as blind signatures or zero-knowledge proofs to ensure that transaction counterparties are not revealed. Our approach to digital currency can also facilitate more efficient and transparent clearing, settlement, and management of systemic risk. We argue that our system can restore and preserve the salient features of cash, including privacy, owner-custodianship, fungibility, and accessibility, while also preserving fractional reserve banking and the existing two-tiered banking system. We also show that it is possible to introduce regulation of digital currency transactions involving non-custodial wallets that unconditionally protect the privacy of end-users.",2021,"Geoffrey Goodell, Hazem Danny Al-Nakib, Paolo Tasca",http://arxiv.org/abs/2101.05259v6,https://arxiv.org/pdf/2101.05259v6,Instant_Payments,Messaging_Security
Central Bank Digital Currency: The Advent of its IT Governance in the financial markets,"Central Bank Digital Currency (CBDC) can be defined as a virtual currency based on node network and digital encryption algorithm issued by a country which has a legal credit protection. CBDCs are supported by Distributed Ledger Technologies (DLTs), and they may allow a universal means of payments for the digital era. There are many ways to proceed, they all require central banks to develop technological expertise. Considering these points, it is important to understand the new IT governance in the financial markets due to CBDC and digital economy. Information Technology is an essential driver that will allow the new financial industry design. This paper has the objective to answer two questions through an updated Systematic Literature Review (SLR). The first question is What IT resources and tools have been considered or applied to set the governance of CBDC adoption? The second; Identify IT governance models in the financial market due to CBDC adoption. Bank for International Settlements (BIS) publications, Scopus and Web of Science were considered as sources of studies. After the strings and including criteria were applied, fourteen papers were analyzed. This paper finds many IT resources used in the CBDC adoption and some preliminary IT design related to the IT governance of CBDC, in the results and discussion section the findings are more detailed. Finally, limitations and future work are considered. Keywords: Blockchain, Central Bank Digital Currency (CBDC), Digital Economy, Distributed Ledger Technology (DLT), Information Technology (IT), IT governance.",2024,"Carlos Alberto Durigan Junior, Mauro De Mesquita Spinola, Rodrigo Franco Gonçalves, Fernando José Barbin Laurindo",http://arxiv.org/abs/2407.07898v1,https://arxiv.org/pdf/2407.07898v1,Financial_Infrastructure,Architecture
Making Tax Smart: Feasibility of Distributed Ledger Technology for building tax compliance functionality to Central Bank Digital Currency,"The latest advancements in Distributed Ledger Technology (DLT), and payment architectures such as the UK's New Payments Architecture, present opportunities for leveraging the hidden informational value and intelligence within payments. In this paper, we present Smart Money, an infrastructure capability for a Central Bank Digital Currency (CBDC) which enables real-time Value Added Tax split payments, oversight, controlled access and smart policy implementation. This capability is implemented as a prototype, called Making Tax Smart (MTS), which is based on the open source R3 Corda framework. The results presented herein confirm that it is feasible to build a MTS capability which is scalable and co-exists with the current payment systems. Smart Money CBDC has the potential to mobilise payments data in order to transform the role of money from a blunt instrument to a government policy sensor and actuator without disrupting the existing money system. DLT, smart contracts and programmable money have a crucial role to play with benefits for government departments, the economy and society as a whole.",2024,"Panos Louvieris, Georgios Ioannou, Gareth White",http://arxiv.org/abs/2406.17512v1,https://arxiv.org/pdf/2406.17512v1,Financial_Infrastructure,Architecture
How to Issue a Central Bank Digital Currency,"With the emergence of Bitcoin and recently proposed stablecoins from BigTechs, such as Diem (formerly Libra), central banks face growing competition from private actors offering their own digital alternative to physical cash. We do not address the normative question whether a central bank should issue a central bank digital currency (CBDC) or not. Instead, we contribute to the current research debate by showing how a central bank could do so, if desired. We propose a token-based system without distributed ledger technology and show how earlier-deployed, software-only electronic cash can be improved upon to preserve transaction privacy, meet regulatory requirements in a compelling way, and offer a level of quantum-resistant protection against systemic privacy risk. Neither monetary policy nor financial stability would be materially affected because a CBDC with this design would replicate physical cash rather than bank deposits.",2021,"David Chaum, Christian Grothoff, Thomas Moser",http://arxiv.org/abs/2103.00254v1,https://arxiv.org/pdf/2103.00254v1,Financial_Infrastructure,Architecture
Central Bank Digital Currencies: A Survey,"With the advancement of digital payment technologies, central banks worldwide have increasingly begun to explore the implementation of Central Bank Digital Currencies (CBDCs). This paper presents a comprehensive review of the latest developments in CBDC system design and implementation. By analyzing 135 research papers published between 2018 and 2025, the study provides an in-depth examination of CBDC design taxonomy and ecosystem frameworks. Grounded in the CBDC Design Pyramid, the paper refines and expands key architectural elements by thoroughly investigating innovations in ledger technologies, the selection of consensus mechanisms, and challenges associated with offline payments and digital wallet integration. Furthermore, it conceptualizes a CBDC ecosystem. A detailed comparative analysis of 26 existing CBDC systems is conducted across four dimensions: system architecture, ledger technology, access model, and application domain. The findings reveal that the most common configuration consists of a two-tier architecture, distributed ledger technology (DLT), and a token-based access model. However, no dominant trend has emerged regarding application domains. Notably, recent research shows a growing focus on leveraging CBDCs for cross-border payments to resolve inefficiencies and structural delays in current systems. Finally, the paper offers several forward-looking recommendations for future research.",2025,"Qifeng Tang, Yain-Whar Si",http://arxiv.org/abs/2507.08880v1,https://arxiv.org/pdf/2507.08880v1,Financial_Infrastructure,Architecture
Systematization of Knowledge: The Design Space of Digital Payment Systems with Potential for CBDC,"Central Bank Digital Currencies (CBDCs) are proposed as a public response to the uptake of privately run digital payments, with the digital euro, under development by the European Central Bank (ECB), serving as a prominent example. This momentum provides a unique opportunity to fundamentally rethink the future of money, and, assuming wide adoption, to establish payment systems that offer strong cryptographic security and privacy guarantees from the start. While the central banks in charge are investigating privacy-enhancing technologies (PETs), they often conclude that PETs are immature or insufficiently scalable. Moreover, these efforts tend to examine primitives in isolation, offering little insight into how a system using these PETs would scale. This systematisation of knowledge, therefore, provides a structured, top-down technical analysis of 36 payment system designs of complete system proposals that can inform CBDC designs or were explicitly proposed for this application. We identify recurring design patterns, technical trade-offs, and implementation challenges. Concluding, we highlight research gaps, including offline payments and post-quantum security.",2026,"Judith Senn, Aljosha Judmayer, Nicholas Stifter, Rainer Böhme",http://arxiv.org/abs/2603.16320v1,https://arxiv.org/pdf/2603.16320v1,Financial_Infrastructure,Architecture
IT Strategic alignment in the decentralized finance (DeFi): CBDC and digital currencies,"Cryptocurrency can be understood as a digital asset transacted among participants in the crypto economy. Every cryptocurrency must have an associated Blockchain. Blockchain is a Distributed Ledger Technology (DLT) which supports cryptocurrencies, this may be considered as the most promising disruptive technology in the industry 4.0 context. Decentralized finance (DeFi) is a Blockchain-based financial infrastructure, the term generally refers to an open, permissionless, and highly interoperable protocol stack built on public smart contract platforms, such as the Ethereum Blockchain. It replicates existing financial services in a more open and transparent way. DeFi does not rely on intermediaries and centralized institutions. Instead, it is based on open protocols and decentralized applications (Dapps). Considering that there are many digital coins, stablecoins and central bank digital currencies (CBDCs), these currencies should interact among each other sometime. For this interaction the Information Technology elements play an important whole as enablers and IT strategic alignment. This paper considers the strategic alignment model proposed by Henderson and Venkatraman (1993) and Luftman (1996). This paper seeks to answer two main questions 1) What are the common IT elements in the DeFi? And 2) How the elements connect to the IT strategic alignment in DeFi? Through a Systematic Literature Review (SLR). Results point out that there are many IT elements already mentioned by literature, however there is a lack in the literature about the connection between IT elements and IT strategic alignment in a Decentralized Finance (DeFi) architectural network. After final considerations, limitations and future research agenda are presented. Keywords: IT Strategic alignment, Decentralized Finance (DeFi), Cryptocurrency, Digital Economy.",2024,"Carlos Alberto Durigan Junior, Fernando Jose Barbin Laurindo",http://arxiv.org/abs/2405.10678v1,https://arxiv.org/pdf/2405.10678v1,Financial_Infrastructure,Architecture
A PoW-less Bitcoin with Certified Byzantine Consensus,"Distributed Ledger Technologies (DLTs), when managed by a few trusted validators, require most but not all of the machinery available in public DLTs. In this work, we explore one possible way to profit from this state of affairs. We devise a combination of a modified Practical Byzantine Fault Tolerant (PBFT) protocol and a revised Flexible Round-Optimized Schnorr Threshold Signatures (FROST) scheme, and then we inject the resulting proof-of-authority consensus algorithm into Bitcoin (chosen for the reliability, openness, and liveliness it brings in), replacing its PoW machinery. The combined protocol may operate as a modern, safe foundation for digital payment systems and Central Bank Digital Currencies (CBDC).",2022,"Marco Benedetti, Francesco De Sclavis, Marco Favorito, Giuseppe Galano, Sara Giammusso, Antonio Muci, Matteo Nardelli",http://arxiv.org/abs/2207.06870v2,https://arxiv.org/pdf/2207.06870v2,Financial_Infrastructure,Architecture
Classifying Tokenised Money: Dimensions and Design Features,"Tokenised money encompasses a broad range of digital monetary instruments issued on distributed ledger technology, including Central Bank Digital Currencys (CBDCs), deposit tokens, stablecoins, and decentralised protocol-based designs. Despite their shared monetary function, these instruments differ markedly in issuer structure, collateralisation, stability mechanisms, governance, and technological embedding, creating conceptual ambiguity. This paper proposes a concise taxonomy spanning twelve key design dimensions, offering a systematic framework for comparing heterogeneous forms of tokenised money. The taxonomy clarifies how different design choices shape monetary properties, risks, and policy implications, supporting clearer analysis and dialogue across academia, industry, and regulation.",2025,"Thomas Ankenbrand, Denis Bieri, Stefano Ferrazzini, Johannes Hoehener",http://arxiv.org/abs/2512.11010v2,https://arxiv.org/pdf/2512.11010v2,Financial_Infrastructure,Architecture
Universal Payment Channels: An Interoperability Platform for Digital Currencies,"With the innovation of distributed ledger technology (DLT), often known as blockchain technology, there has been significant growth of digital tokens in the form of cryptocurrencies, stablecoins, and central bank digital currencies. As the number of DLT networks increases, each with varying design characteristics, the likelihood that transacting parties are on the same network decreases. Thus, it is crucial to facilitate payments that are universal across networks, scalable to massive loads, and highly available. We envision a future payment network that may be built on top of DLT networks without being subject to their limitations on interoperability, scalability, and availability faced by DLT payment solutions today. Specifically, we propose a hub-and-spoke payment route, referred to here as Universal Payment Channels (UPC), that can be used to support digital token transfers of funds across different networks through payment channels. We further discuss the potential use cases of the UPC technology to support, and not complicate, an already robust digital payment ecosystem. Finally, through the paper, we share some future directions of the UPC technology.",2021,"Mihai Christodorescu, Erin English, Wanyun Catherine Gu, David Kreissman, Ranjit Kumaresan, Mohsen Minaei, Srinivasan Raghuraman, Cuy Sheffield, Arjuna Wijeyekoon, Mahdi Zamani",http://arxiv.org/abs/2109.12194v2,https://arxiv.org/pdf/2109.12194v2,Financial_Infrastructure,Architecture
A Framework for Programmability in Digital Currency,"Programmable money, enabled by digital currencies, facilitates outcomes beyond simple payments by allowing users to attach conditions to the movement of funds through code. However, there is a lack of clarity on defining programmable money, where programmability can be implemented, and the resulting tradeoffs. This paper provides a definition of programmable money with four key components: a format for representing value, a set of programmable instructions, an execution environment providing a coherence guarantee, and rules around permissioning. We discuss programmability primitives, categorizing them into levels based on expressiveness. We outline four locations programmability could be offered - hardcoded into system rules, via client-supplied programs/smart contracts, in client code, or via intermediaries - analyzing benefits and risks of each. For policymakers evaluating central bank digital currencies, we recommend considering these aspects holistically and their interplay with regulation in system design. Our framework and vocabulary enable more nuanced analysis of implementing programmability.",2023,"Nikhil George, Thaddeus Dryja, Neha Narula",http://arxiv.org/abs/2311.04874v1,https://arxiv.org/pdf/2311.04874v1,Financial_Infrastructure,Architecture
DICE: Dynamic Interconnections for the Cellular Ecosystem,"To enable roaming of users, the cellular ecosystem integrates many entities and procedures, including specific infrastructure to connect Mobile Network Operators (MNOs), business partnerships or the use of third-party Data Clearing Houses (DCHs) for billing. Many of these rely on specifications rooted in dated and arcane practices, involving long waiting periods for financial clearing, complex billing models, and disparate mechanisms for dealing with inter-MNO disputes. In this paper, we propose a novel solution, DICE (Dynamic Interconnections for the Cellular Ecosystem), aimed at facilitating dynamic collaboration between MNOs, and sustain fluid interconnection models between the end-users and MNOs. DICE uses distributed ledger technology (DLT) to enable MNOs to interact directly, and offer customizable services to their users through the use of crypto-currencies. We leverage real-world data from a major operational MNO in Europe to support our claims, and to extract the requirements for the DICE system. We introduce the DICE protocol, and discuss real-world implementation considerations.",2020,"Andra Lutu, Marcelo Bagnulo, Diego Perino",http://arxiv.org/abs/2007.13591v1,https://arxiv.org/pdf/2007.13591v1,Financial_Infrastructure,Architecture
Stablecoins and the Emerging Hybrid Monetary Ecosystems,"With market capitalization exceeding USD250 billion by mid-2025, stablecoins have evolved from a crypto-focused innovation into a vital component of the global monetary structure. This paper identifies the characteristics of stablecoins from an analytical perspective and investigates the role of stablecoins in forming a hybrid monetary ecosystem where public (fiat, CBDC) and private (USDC, USDT, DAI) monies coexist. Through a number of econometric analysis models, we find that stablecoins maintain strong peg stability, while each type exhibiting distinctive responses to market variables such as trading volume and capitalization depending on the mechanisms behind. We also introduce a hybrid system design that proposes a two-layer structure, which private stablecoin issuers are backed by central bank reserves, ensuring uniformity, security, and programmability. This model takes advantages of both decentralized finance and payment innovation, while utilizing the Federal Reserve's institutional trust. A case study on the SVB-USDC de-peg event in 2023 illustrates how such a hybrid system could have prevented panic-induced instability through transparent reserves, secured liquidity, and interoperable assets. Through examination of the Dybvig model and simulation, we conclude that a hybrid monetary model not only enhances financial inclusivity, scalability, and dollar utility in digital ecosystems, but it also strengthens systemic resilience, offering a credible blueprint for future digital dollar architectures.",2025,"Hongzhe Wen, Songbai Li, R. S. M. Lau, Jamie Zhang",http://arxiv.org/abs/2505.10997v3,https://arxiv.org/pdf/2505.10997v3,Financial_Infrastructure,Architecture
How to design a Public Key Infrastructure for a Central Bank Digital Currency,"Central Bank Digital Currency (CBDC) is a new form of money, issued by a country's or region's central bank, that can be used for a variety of payment scenarios. Depending on its concrete implementation, there are many participants in a production CBDC ecosystem, including the central bank, commercial banks, merchants, individuals, and wallet providers. There is a need for robust and scalable Public Key Infrastructure (PKI) for CBDC to ensure the continued trust of all entities in the system. This paper discusses the criteria that should flow into the design of a PKI and proposes a certificate hierarchy, together with a rollover concept ensuring continuous operation of the system. We further consider several peculiarities, such as the circulation of offline-capable hardware wallets.",2024,"Makan Rafiee, Lars Hupel",http://arxiv.org/abs/2412.04051v2,https://arxiv.org/pdf/2412.04051v2,Financial_Infrastructure,Performance
