Título,Resumo,Ano,Link,DOI,Cat_Ancora,Ancoras_Identificadas,Score_Elite,Fonte
Are digital payments driven by wealth inequality? Evidence from analysis of the unified payments interface (UPI) adoption in India,,2025,https://doi.org/10.1016/j.eap.2025.07.014,10.1016/j.eap.2025.07.014,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Determinants of Customer Satisfaction in UPI-Based Digital Payments: A Study of Google Pay Users in India,"<jats:p>Abstract

This study examines customer satisfaction towards Google Pay, a leading UPI-based digital payment platform in India. The research focuses on analysing user perceptions, satisfaction levels, and key factors influencing the adoption and continued use of the application. A quantitative research approach was adopted, and primary data was collected through a structured questionnaire from 100 respondents. The study evaluates important determinants such as ease of use, transaction speed, security, service quality, and customer support. The findings indicate that a majority of users are satisfied with Google Pay due to its user-friendly interface, convenience, and secure transaction system. However, issues such as transaction failures, network problems, and delays in customer support still affect overall user experience. The study concludes by suggesting improvements in technical reliability and customer service to enhance user satisfaction and long-term usage.

Keywords: Customer Satisfaction, Google Pay, UPI, Digital Payments, Fintech, User Experience, Service Quality, India</jats:p>",2026,https://doi.org/10.55041/ijsrem58497,10.55041/ijsrem58497,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
An Inter-State Exploration of Unified Payments Interface (UPI)Adoption and Digitalization Advancements,,2023,https://doi.org/10.26821/ijsrc.11.9.2023.110906,10.26821/ijsrc.11.9.2023.110906,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
"The Behavioural Shift in Digital Payments : A Comparative Study of UPI, Wallets, and Card Transactions in India\'s Fintech Ecosystem",,2026,https://doi.org/10.58257/ijprems52082,10.58257/ijprems52082,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
An Intelligent UPI Fraud Detection Framework Using Machine Learning for Secure Digital Payments,,2026,https://doi.org/10.1109/icetsis68266.2026.11549415,10.1109/icetsis68266.2026.11549415,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Analysis of Usage of UPI Payments in Banking Sector,"<jats:p>The genesis of India’s unified payment solution prior to 2016; India used a number of different systems to
transfer money between banks. The traditional forms included RTGS, IMPS and NEFT. With the plethora of systems, rules and
growing paper burden, there was a need for a unified system that could automate and standardise India’s payment platforms. In
2016, NPCI set out with a mandate to change the face of India’s payment systems. It developed the Unified Payments
Interface (UPI) as an architecture framework with a set of standard Application Programming Interface (API) specifications
to facilitate online payments. The aim was to simplify and provide a single interface across all NPCI systems, thereby creating
interoperability and a superior customer experience. The pilot program, with 21 member banks, was launched on 11th April,
2016, by Dr. Raghuram G. Rajan, Governor, RBI, in Mumbai. From 25th August, 2016, a growing number of banks started to
upload their UPI enabled apps to the Google Play store. The Indian Banking system is considered as a strong backbone of
India’s economy through which millions of financial transactions get exchanged every single minute. To increase this number
in the year 2016 India has taken initiatives to start the “Digital India” campaign by National Payment Corporation of India
(NPCI) through which online digital payments got huge importance. In the year 2021, India became the global leader in real
time digital payments. This study will be helpful to understand the changing scenario of the banking system in India and also
cover the satisfaction of customers with their banking services. In India unified Payments Interface has become the game
changer in the history of the banking system. It helps to smooth functioning of the payment system without any
complications. This study will be useful to know the impact of UPI on banking. The objective of the study is to study awareness,
preferences, level of satisfaction of customers while transferring funds.
The Unified Payment Interface (UPI) is one of the great inventions of E-payments introduced by National Payment
Corporation of India (NPCI). UPI is an advanced and significant payment system in terms of cost, ease of use for
consumers, settlement times and security. It has facilitated a large number of populations to bring within the purview of the
digital economy. It is a type of payment system through which any customer holding a bank account can send and receive
money through a UPI-based app. The customer can easily exchange money by using UPI payment apps.</jats:p>",2025,https://doi.org/10.22214/ijraset.2025.72756,10.22214/ijraset.2025.72756,Pagamentos_Instantaneos_Varejo,UPI,4.5,Crossref
"AN ANALYSIS OF UNIFIED PAYMENTS INTERFACE (UPI): PAYER AND PAYEE PSP PERFORMANCE, UPI APPS, AND P2P AND P2M TRANSACTION TRENDS IN INDIA","<jats:p>This study investigates the Unified Payments Interface (UPI) ecosystem in India from October 2022 to October 2024, focusing on UPI Payer and Payee Payment Service Provider (PSP) performance, UPI apps, and P2P (Peer-to-Peer) and P2M (Peer-to-Merchant) transactions. Using a mixed-methods approach, quantitative data from official sources like NPCI and RBI reports provides insights into transaction volumes, values, and trends across various PSPs and UPI apps. The study also explores factors influencing UPI growth, such as digital literacy and financial inclusion, using regression analysis. The research highlights the significant growth in UPI transactions, the dominance of leading apps like PhonePe and Google Pay, and the impact of UPI on digital payments for small and medium businesses. These findings aim to offer a comprehensive overview of the UPI landscape and its future potential in India’s digital payment sector. The data highlights the exponential growth and evolving landscape of UPI transactions in India over the three-year period. From October 2022 to October 2024, the total transaction volume surged from 7,305.42 million to 16,584.97 million, while the transaction value escalated from ?12,11,582.51 crores to ?23,49,821.45 crores. This growth underscores the increasing adoption and reliance on digital payments. Leading UPI apps such as PhonePe, Google Pay, and Paytm consistently dominated the market, reflecting their strong user base and robust infrastructure. Notably, new entrants like Navi, Cred, and FamApp by Trio also made significant inroads, indicating a diversification in user preferences and app offerings. In terms of bank performance, Axis Bank, Yes Bank, and ICICI Bank emerged as key players in both Payer and Payee PSP categories, maintaining high approval rates and substantial transaction volumes. The data also shows a clear distinction between peer-to-peer (P2P) and peer-to-merchant (P2M) transactions, with P2P transactions contributing significantly to the total transaction value. Overall, the UPI ecosystem’s remarkable growth, coupled with the diverse performance of various apps and banks, highlights the transformative impact of digital payments on the Indian economy. The trends reflect not only increased user confidence but also the efficiency and reliability of UPI as a preferred mode of transaction.</jats:p>",2025,https://doi.org/10.21917/ijms.2025.0318,10.21917/ijms.2025.0318,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
"Adoption of Digital Payments in Indian Economy - A Comprehensive Survey on the Role of UPI in Automating Small and Medium Businesses in Jabalpur, MP","<jats:p>This study aims to investigate the adoption of online payments while focusing on the role of “Unified Payments Interface (UPI)” in automation of “small and medium enterprises (SMEs)” located in Jabalpur, India. With the rise in digital economy in India, UPI has made a transformative impact with evidence on its effect among SMEs in tier-2 city like Jabalpur. It addresses the gap by determining frequency and level of adoption of UPI and evaluating important factors affecting its use.
A self-structured questionnaire was prepared with close-ended questions (based on 5-point Likert scale) and distributed to 300 SMEs across retail, manufacturing, and service sectors. Collection of data includes modes of payment, business profile, frequency of using UPIs, and in-depth perceptions of convenience of UPI, payment modes, business profile, automation benefits, user attitudes, and challenges. Before hypotheses testing, Cronbach’s Alpha test was conducted to determine the reliability of questionnaire (Alpha = 0.955). Both multiple linear regression and one-sample t-tests were conducted using SPSS software to determine the impact of adoption of UPI and predictive strength of security, perceived ease of use, and digitalization.
Findings of the study reveal that there is high prevalence of UPI, as majority of SMEs perceive adoption of UPI to improve operational efficiency, promote processing of payments, and automate transactions. With regression analysis, it is found that perceptions of security and digital preparedness are strong predictors of adoption of UPI, while there are significant challenges due to perceived costs. It is concluded that integrating UPIs successfully is closely related to factors like confidence in security and digital infrastructure. Digitalization of SMEs in emerging economies is further accelerated by addressing technical issues and adoption costs. Findings of this study provide important insights for fintech providers, policymakers, and business leaders looking forward to modernize operations and improve financial inclusion with online payments.</jats:p>",2025,https://doi.org/10.29070/q1zzdt06,10.29070/q1zzdt06,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Comparative Study Between User and Non-user Behavior Towards Unified Payment Interface (UPI) &amp; QR Payments in an Unorganized Retail Sector in India,"<jats:p>This study is conducted with the objective to check the adaptation behavior toward Unified Payment Interface (UPI) &amp; QR payments in the unorganized retail sector in India. Data was collected through structured questionnaires and schedules with help of 330 retailers of which 165 retailers were using Unified Payment Interface (UPI) &amp; QR payments and 165 Non-Users. Data analysis was done through ANOVA, with help of 330 samples in the sector. The study has undertaken cross-tabulation to compare the relationship between users and non-users. The findings and implications are discussed.</jats:p>",2023,https://doi.org/10.62011/kmicsjcm.2023.1.1.5,10.62011/kmicsjcm.2023.1.1.5,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Sentiment Analysis of Unified Payments Interface (UPI) Payment App Review using Machine Learning Algorithm,,2024,https://doi.org/10.1109/incet61516.2024.10593356,10.1109/incet61516.2024.10593356,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
The Future of Payments in India: An Analysis of Digital Rupee and UPI,"<jats:p>The Reserve Bank of India’s digital rupee (e₹) and the Unified Payments Interface (UPI) are transforming the future of payments in India. In our research study, researcher adopted a qualitative method to understand existing literature on the topic. Official and non-official websites were analyzed for information. The study relied on secondary data only, as there was limited prior research in this area. This study analyzes the impact and potential of the digital rupee and UPI in the Indian financial landscape. The digital rupee, launched on December 1, 2022, offers many advantages over traditional paper currency, including security, accessibility, and government backing. The study also highlights potential drawbacks such as disruption to the banking system and security concerns. On the other hand, UPI is a platform for facilitating banking transactions, different from the digital rupee. The integration of the digital rupee with existing payment systems such as UPI and IMPS is expected to increase financial inclusion and reduce transaction costs. The study answers key research questions and concludes that the digital rupee and UPI have the potential to play a significant role in the future of payments in India.</jats:p>",2023,https://doi.org/10.46632/jbab/2/1/5,10.46632/jbab/2/1/5,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
"""A Critical Analysis on Unified Payments Interface (UPI) and Its Impact on India’s Financial Ecosystem""",,2026,https://doi.org/10.55041/ijsrem64372,10.55041/ijsrem64372,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Consumer Adoption of UPI-Based Digital Payments: An Analysis of Usage Patterns and Satisfaction,"<jats:p>Abstract: The rapid growth of digital payment systems has transformed the financial transaction landscape, particularly in India, where the Unified Payments Interface has emerged as a widely adopted platform for instant and seamless transactions. This study aims to analyze consumer adoption of UPI-based digital payments by examining usage patterns and satisfaction levels. The research focuses on key determinants such as convenience, security, reliability, and usage frequency to understand their impact on consumer satisfaction. The study is based on primary data collected from a sample of 320 respondents using a structured questionnaire measured on a five-point Likert scale. Descriptive statistics and multiple regression analysis were employed using IBM SPSS Statistics to analyze the data. The findings indicate that UPI-based payment systems are extensively used by consumers for daily transactions, reflecting a high level of adoption and integration into routine financial activities. Among the factors analyzed, convenience emerged as the most significant predictor of consumer satisfaction, followed by usage frequency and reliability. Security was also found to have a significant impact, although comparatively lower perceptions suggest the presence of concerns related to data privacy and transaction safety. The results highlight that while digital payment platforms have achieved widespread acceptance, sustaining user satisfaction requires continuous improvement in security and system performance. The study contributes to the existing literature by providing an integrated analysis of consumer adoption, usage behavior, and satisfaction in the context of UPI-based payments. It offers practical implications for service providers, policymakers, and users by emphasizing the need to enhance user experience, strengthen security frameworks, and promote awareness of safe digital practices. The findings underscore the importance of balancing convenience with trust to ensure the long-term sustainability of digital payment systems.

Keywords: UPI, Digital Payments, Consumer Adoption, Usage Patterns, Consumer Satisfaction, Convenience, Security, Reliability, FinTech, India</jats:p>",2026,https://doi.org/10.55041/ijsrem58604,10.55041/ijsrem58604,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
AN ANALYSIS ON SPENDING BEHAVIOUR IN UPI PAYMENTS AMONG HOUSEHOLDS IN TIRUPPUR DISTRICT,,2026,https://doi.org/10.56975/jaafr.v4i3.506023,10.56975/jaafr.v4i3.506023,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Mitigating Concept Drift in High-Velocity UPI Payments: An Adaptive Hybrid DQN-XGBoost Framework,"<jats:p>As the use of Unified Payments Interface (UPI) has grown exponentially in the modern financial ecosystem, adaptive fraud detection systems capable of mitigating evolving attack strategies under strict latency constraints have become essential. Most conventional machine learning approaches rely primarily on static historical data and treat fraud detection as a static classification task, which limits their responsiveness to shifting behavioral patterns. This paper proposes a hybrid framework that redefines fraud identification as a sequential decision process by integrating Deep Q-Networks (DQN) with XGBoost. In our proposed architecture, XGBoost performs high-precision classification on structured transactional features in conjunction with a DQN component that dynamically refines detection policies through reinforcement learning. This design facilitates a novel decision process that enhances sensitivity to emerging fraud variants. Experimental results demonstrate 98.7% accuracy and 98.5% recall, with an average inference latency of 45 ms, confirming the framework’s scalability for high-volume UPI ecosystems.
Index Terms—Financial Fraud Detection, Deep Q-Networks (DQN), XGBoost, Concept Drift, Real-Time Security, UPI</jats:p>",2026,https://doi.org/10.55041/ijcope.v2i4.955,10.55041/ijcope.v2i4.955,Pagamentos_Instantaneos_Varejo,UPI,3.0,Crossref
THE CONSTITUTIONAL ARCHITECTURE OF STATE OPPOSITION: A Taxonomy of Sovereign Posture Under Federal Authoritarian Capture,"<jats:p>American states already hold the constitutional authority to check, prosecute, and outlast a captured federal government. The architecture has always been there. &lt;br&gt;&lt;br&gt; Scholarship on federalism and democratic backsliding has accurately described why subnational opposition to authoritarian federal measures tends to fail: states deploy individual tools in isolation, get outmaneuvered, and lose. What that scholarship has not provided is a unified taxonomy of the tools themselves or the recognition that they constitute an architecture that, when assembled deliberately and deployed concurrently, produces something qualitatively different from any single tool applied alone.&lt;br&gt;&lt;br&gt; Each of these postures has existed throughout American constitutional history. What the literature has never provided is the recognition that they constitute discrete categorical tiers within a single deployable architecture. This paper develops that taxonomy across five tiers. Tier Zero is cooperative federalism, the assumed ground state requiring no deliberation. Tier One, uncooperative federalism, describes governments withholding cooperation from federal enforcement, a category Bulman-Pozen and Gerken named in 2009.¹ Tier Two, soft secession, describes states building parallel institutional and financial capacity that reduces dependence on federal partnership and builds resilience against federal mismanagement, corruption, and captured law. Tier Three, oppositional federalism, describes governmental actors at any level using sovereign powers offensively to confront and impose direct personal costs on federal officials and institutions, including through criminal prosecution under state law for offenses that no presidential pardon can reach. Tier Four is constitutional non-compliance, the condition at which judicial and federal mandates have become so incompatible with constitutional obligation that compliance itself constitutes the violation, a posture Northern states occupied when the Supreme Court upheld the Fugitive Slave Act and they refused to enforce it anyway.&lt;br&gt;&lt;br&gt; The architecture is tier-modular, domain-modular, and actor-modular. A mayor, a city council, a state attorney general, a governor, or a state legislature can move from Tier Zero directly to Tier Three in a single session without prerequisites; any tier is independently deployable without activating the others; and any governmental actor can occupy different tiers simultaneously across different policy domains. Full concurrent deployment produces the constitutional infrastructure specifically suited to the failure mode the existing literature identifies but cannot prescribe for: authoritarian federal capture by actors engaged in the systematic dismantling of democratic governance and the rule of law.&lt;br&gt;&lt;br&gt; The doctrinal foundation rests on dual sovereignty, under which presidential pardons reach only federal crimes and state prosecutions of federal officials remain constitutionally unreachable by executive action, and the anti-commandeering doctrine, under which Congress cannot conscript state officers into federal enforcement.² These doctrines have been consistently applied across two and a half centuries of American constitutional law regardless of which party held power, because they reflect the structural design of the Constitution itself. They enable every tier of this framework, from refusing federal cooperation to prosecuting federal officials, without federal permission, federal oversight, or presidential interference. The framework does not conflict with the Supremacy Clause, which governs conflicts between state and federal regulatory regimes and has never been understood to immunize federal officials from state criminal liability for conduct that violates state law, to compel states to assist federal enforcement, or to displace the parallel criminal jurisdictions that dual sovereignty established at ratification. Because no single actor controls the architecture and no federal action can foreclose it, the framework is resistant to the very countermeasures that have historically crushed subnational opposition.</jats:p>",N/A,https://doi.org/10.2139/ssrn.6416178,10.2139/ssrn.6416178,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Examining User Awareness and Addressing Security Challenges in the UPI Framework: A Comprehensive Analysis Framework,"<jats:p>Abstract
The Unified Payments Interface (UPI), launched in 2016 by the National Payments Corporation of India (NPCI), has rapidly revolutionized digital transactions in India. Its widespread adoption, however, has outpaced user awareness and exposed various security vulnerabilities. This study explores the landscape of user awareness regarding UPI security, identifies the types of cyber threats faced, and evaluates the existing security infrastructure and user behavior. Through survey analysis and literature review, it reveals that although users appreciate the platform's convenience, a significant portion lacks understanding of critical security features such as two-factor authentication, fraud reporting mechanisms, and secure transaction practices. The study proposes strategic recommendations for stakeholders—including banks, fintech firms, and regulators—to enhance user literacy and fortify the UPI ecosystem through technological upgrades like biometric authentication, AI-powered fraud detection, and multilingual awareness campaigns. The findings contribute to a more secure and inclusive digital financial system in India.

Keywords: UPI, user awareness, digital payments, cybersecurity, NPCI, financial inclusion</jats:p>",2025,https://doi.org/10.55041/ijsrem47631,10.55041/ijsrem47631,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
SEISMIC RESISTANCE OF LARGE-PANEL BUILDINGS IN SEISMIC REGIONS. RETROSPECTIVE ANALYSIS OF REGULATORY FRAMEWORK,"<jats:p>The article presents an extensive retrospective analysis of the regulatory framework governing seismic-resistant design of large-panel buildings in seismic regions of Ukraine, spanning from early Soviet documents (PSP-101-51, SN 8-57) and subsequent SNiP regulations (II-A.12-62, II-12-69, II-7-81) to contemporary DBN V.1.1-12:2006 and DBN V.1.1-12:2014. The study's relevance stems from increased design seismic intensity in numerous regions following the implementation of ZSR-2004 maps, which necessitated reassessment of seismic resistance in buildings previously constructed without appropriate anti-seismic measures. The authors systematized key regulatory criteria (maximum building height and length, minimum requirements for joints and reinforcement, calculation methods) in a comparative table to demonstrate the trends of increasing requirements and transition from general recommendations to precise numerical limitations. A comprehensive, structured approach was applied, including documentary research, thematic analysis, and systematic grouping of regulatory requirements, which enabled establishing the relationship between the construction period of a large-panel building and its degree of compliance with current standards. The study demonstrates that the development of requirements has occurred in response to accumulated experience, technological advances, and international influences, resulting in modern calculation methods (spectral, nonlinear), detailed specifications for joints and reinforcement, and possibilities for seismic isolation implementation. The obtained results provide opportunities for direct integration into the methodology of visual assessment and certification of existing residential buildings, significantly optimizing the process of identifying potentially problematic structural elements and facilitating the development of scientifically substantiated solutions for strengthening load-bearing structures by engineers. Thus, the retrospective approach serves as a valuable tool for improving the efficiency of seismic resistance assessment, optimizing resources for building reinforcement, and enhancing regulatory documents in the field of seismic-resistant construction.</jats:p>",2025,https://doi.org/10.31650/2786-6696-2025-13-80-87,10.31650/2786-6696-2025-13-80-87,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Performance-Based Pay System and Job Stress Related to Depression/Anxiety in Korea: Analysis of Korea Working Condition Survey,"<jats:p>The adoption rate of performance-based pay systems has increased in recent years, and the adverse effects of systems have been emphasized. However, no study has analyzed the increase in the risk of depression/anxiety symptoms caused by the pay system in Korea. This study aimed to reveal the association between performance-based pay systems and symptoms of depression/anxiety, using data from the fifth Korean Working Conditions Survey. Depressive/anxiety symptoms were assessed using “yes” or “no” questions regarding medical problems related to depression/anxiety. The performance-based pay system and job stress were estimated using self-response answers. Logistic regression analyses were conducted to determine the association between performance-based pay systems, job stress, and symptoms of depression/anxiety using data from 27,793 participants. The performance-based pay system significantly increased the risk of the symptoms. Additionally, risk increments were calculated after grouping by pay system and job stress. Workers with two risk factors had the highest risk of symptoms of depression/anxiety for both sexes (male: OR 3.05; 95% CI 1.70–5.45; female: OR 2.15; 95% CI 1.32–3.50), implying synergistic effect of performance-based pay system and job stress on depression/anxiety symptoms. Based on these findings, policies should be established for early detection and protection against the risk of depression/anxiety.</jats:p>",2023,https://doi.org/10.3390/ijerph20054065,10.3390/ijerph20054065,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Comparative Analysis of Machine Learning Algorithms for UPI Fraud Detection,,2026,https://doi.org/10.56975/jaafr.v4i3.505415,10.56975/jaafr.v4i3.505415,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
